;Substance;code;primary_code;Lvl4;Lvl3;Lvl2;Lvl1;Class1;Class2;Class3;Class4
1614;thiopental;N05CA19;N01AF03;N05CA;N05C;N05;N;Nervous;Psycholeptics;Hypnotics and sedatives;Barbiturates, plain
6145;hexobarbital;N05CA16;N01AF02;N05CA;N05C;N05;N;Nervous;Psycholeptics;Hypnotics and sedatives;Barbiturates, plain
2692;methohexital;N05CA15;N01AF01;N05CA;N05C;N05;N;Nervous;Psycholeptics;Hypnotics and sedatives;Barbiturates, plain
4408;cyclobarbital;N05CA10;N05CA10;N05CA;N05C;N05;N;Nervous;Psycholeptics;Hypnotics and sedatives;Barbiturates, plain
6874;vinylbital;N05CA08;N05CA08;N05CA;N05C;N05;N;Nervous;Psycholeptics;Hypnotics and sedatives;Barbiturates, plain
6832;talbutal;N05CA07;N05CA07;N05CA;N05C;N05;N;Nervous;Psycholeptics;Hypnotics and sedatives;Barbiturates, plain
3353;secobarbital;N05CA06;N05CA06;N05CA;N05C;N05;N;Nervous;Psycholeptics;Hypnotics and sedatives;Barbiturates, plain
6358;aprobarbital;N05CA05;N05CA05;N05CA;N05C;N05;N;Nervous;Psycholeptics;Hypnotics and sedatives;Barbiturates, plain
3701;barbital;N05CA04;N05CA04;N05CA;N05C;N05;N;Nervous;Psycholeptics;Hypnotics and sedatives;Barbiturates, plain
5502;butobarbital;N05CA03;N05CA03;N05CA;N05C;N05;N;Nervous;Psycholeptics;Hypnotics and sedatives;Barbiturates, plain
3402;amobarbital;N05CA02;N05CA02;N05CA;N05C;N05;N;Nervous;Psycholeptics;Hypnotics and sedatives;Barbiturates, plain
1931;pentobarbital;N05CA01;N05CA01;N05CA;N05C;N05;N;Nervous;Psycholeptics;Hypnotics and sedatives;Barbiturates, plain
2826;hypnotics and sedatives, unspecified;N05C;N05C;N05C;N05C;N05;N;Nervous;Psycholeptics;Hypnotics and sedatives;NA
1552;benzodiazepines, unspecified;N05C;N05C;N05C;N05C;N05;N;Nervous;Psycholeptics;Hypnotics and sedatives;NA
4963;fabomotizole;N05BX04;N05BX04;N05BX;N05B;N05;N;Nervous;Psycholeptics;Anxiolytics;Other anxiolytics
2304;etifoxine;N05BX03;N05BX03;N05BX;N05B;N05;N;Nervous;Psycholeptics;Anxiolytics;Other anxiolytics
3862;mephenoxalone;N05BX01;N05BX01;N05BX;N05B;N05;N;Nervous;Psycholeptics;Anxiolytics;Other anxiolytics
564;buspirone;N05BE01;N05BE01;N05BE;N05B;N05;N;Nervous;Psycholeptics;Anxiolytics;Azaspirodecanedione derivatives
4618;mebutamate;N05BC04;N05BC04;N05BC;N05B;N05;N;Nervous;Psycholeptics;Anxiolytics;Carbamates
1660;meprobamate;N05BC01;N05BC01;N05BC;N05B;N05;N;Nervous;Psycholeptics;Anxiolytics;Carbamates
4452;captodiame;N05BB02;N05BB02;N05BB;N05B;N05;N;Nervous;Psycholeptics;Anxiolytics;Diphenylmethane derivatives
424;hydroxyzine;N05BB01;N05BB01;N05BB;N05B;N05;N;Nervous;Psycholeptics;Anxiolytics;Diphenylmethane derivatives
2786;mexazolam;N05BA25;N05BA25;N05BA;N05B;N05;N;Nervous;Psycholeptics;Anxiolytics;Benzodiazepine derivatives
5106;bentazepam;N05BA24;N05BA24;N05BA;N05B;N05;N;Nervous;Psycholeptics;Anxiolytics;Benzodiazepine derivatives
2903;tofisopam;N05BA23;N05BA23;N05BA;N05B;N05;N;Nervous;Psycholeptics;Anxiolytics;Benzodiazepine derivatives
2055;cloxazolam;N05BA22;N05BA22;N05BA;N05B;N05;N;Nervous;Psycholeptics;Anxiolytics;Benzodiazepine derivatives
1727;clotiazepam;N05BA21;N05BA21;N05BA;N05B;N05;N;Nervous;Psycholeptics;Anxiolytics;Benzodiazepine derivatives
1005;etizolam;N05BA19;N05BA19;N05BA;N05B;N05;N;Nervous;Psycholeptics;Anxiolytics;Benzodiazepine derivatives
1731;ethyl loflazepate;N05BA18;N05BA18;N05BA;N05B;N05;N;Nervous;Psycholeptics;Anxiolytics;Benzodiazepine derivatives
3188;fludiazepam;N05BA17;N05BA17;N05BA;N05B;N05;N;Nervous;Psycholeptics;Anxiolytics;Benzodiazepine derivatives
1314;nordazepam;N05BA16;N05BA16;N05BA;N05B;N05;N;Nervous;Psycholeptics;Anxiolytics;Benzodiazepine derivatives
5002;camazepam;N05BA15;N05BA15;N05BA;N05B;N05;N;Nervous;Psycholeptics;Anxiolytics;Benzodiazepine derivatives
4573;pinazepam;N05BA14;N05BA14;N05BA;N05B;N05;N;Nervous;Psycholeptics;Anxiolytics;Benzodiazepine derivatives
3804;halazepam;N05BA13;N05BA13;N05BA;N05B;N05;N;Nervous;Psycholeptics;Anxiolytics;Benzodiazepine derivatives
72;alprazolam;N05BA12;N05BA12;N05BA;N05B;N05;N;Nervous;Psycholeptics;Anxiolytics;Benzodiazepine derivatives
1204;prazepam;N05BA11;N05BA11;N05BA;N05B;N05;N;Nervous;Psycholeptics;Anxiolytics;Benzodiazepine derivatives
3337;ketazolam;N05BA10;N05BA10;N05BA;N05B;N05;N;Nervous;Psycholeptics;Anxiolytics;Benzodiazepine derivatives
499;clobazam;N05BA09;N05BA09;N05BA;N05B;N05;N;Nervous;Psycholeptics;Anxiolytics;Benzodiazepine derivatives
645;bromazepam;N05BA08;N05BA08;N05BA;N05B;N05;N;Nervous;Psycholeptics;Anxiolytics;Benzodiazepine derivatives
65;lorazepam;N05BA06;N05BA06;N05BA;N05B;N05;N;Nervous;Psycholeptics;Anxiolytics;Benzodiazepine derivatives
1125;clorazepic acid;N05BA05;N05BA05;N05BA;N05B;N05;N;Nervous;Psycholeptics;Anxiolytics;Benzodiazepine derivatives
434;oxazepam;N05BA04;N05BA04;N05BA;N05B;N05;N;Nervous;Psycholeptics;Anxiolytics;Benzodiazepine derivatives
3189;medazepam;N05BA03;N05BA03;N05BA;N05B;N05;N;Nervous;Psycholeptics;Anxiolytics;Benzodiazepine derivatives
1334;chlordiazepoxide;N05BA02;N05BA02;N05BA;N05B;N05;N;Nervous;Psycholeptics;Anxiolytics;Benzodiazepine derivatives
117;diazepam;N05BA01;N05BA01;N05BA;N05B;N05;N;Nervous;Psycholeptics;Anxiolytics;Benzodiazepine derivatives
2671;anxiolytics, unspecified;N05B;N05B;N05B;N05B;N05;N;Nervous;Psycholeptics;Anxiolytics;NA
321;pimavanserin;N05AX17;N05AX17;N05AX;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;Other antipsychotics
713;brexpiprazole;N05AX16;N05AX16;N05AX;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;Other antipsychotics
1148;cariprazine;N05AX15;N05AX15;N05AX;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;Other antipsychotics
1855;iloperidone;N05AX14;N05AX14;N05AX;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;Other antipsychotics
403;paliperidone;N05AX13;N05AX13;N05AX;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;Other antipsychotics
138;aripiprazole;N05AX12;N05AX12;N05AX;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;Other antipsychotics
1989;zotepine;N05AX11;N05AX11;N05AX;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;Other antipsychotics
4170;mosapramine;N05AX10;N05AX10;N05AX;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;Other antipsychotics
58;risperidone;N05AX08;N05AX08;N05AX;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;Other antipsychotics
2377;prothipendyl;N05AX07;N05AX07;N05AX;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;Other antipsychotics
452;lithium;N05AN01;N05AN01;N05AN;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;Lithium
2047;levosulpiride;N05AL07;N05AL07;N05AL;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;Benzamides
4379;veralipride;N05AL06;N05AL06;N05AL;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;Benzamides
873;amisulpride;N05AL05;N05AL05;N05AL;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;Benzamides
4675;remoxipride;N05AL04;N05AL04;N05AL;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;Benzamides
1785;tiapride;N05AL03;N05AL03;N05AL;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;Benzamides
2545;sultopride;N05AL02;N05AL02;N05AL;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;Benzamides
1165;sulpiride;N05AL01;N05AL01;N05AL;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;Benzamides
2509;samidorphan;N05AH53;N05AH53;N05AH;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;Diazepines, oxazepines, thiazepines and oxepines
2039;clotiapine;N05AH06;N05AH06;N05AH;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;Diazepines, oxazepines, thiazepines and oxepines
1038;asenapine;N05AH05;N05AH05;N05AH;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;Diazepines, oxazepines, thiazepines and oxepines
149;quetiapine;N05AH04;N05AH04;N05AH;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;Diazepines, oxazepines, thiazepines and oxepines
178;olanzapine;N05AH03;N05AH03;N05AH;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;Diazepines, oxazepines, thiazepines and oxepines
111;clozapine;N05AH02;N05AH02;N05AH;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;Diazepines, oxazepines, thiazepines and oxepines
1124;loxapine;N05AH01;N05AH01;N05AH;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;Diazepines, oxazepines, thiazepines and oxepines
3819;penfluridol;N05AG03;N05AG03;N05AG;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;Diphenylbutylpiperidine derivatives
2080;pimozide;N05AG02;N05AG02;N05AG;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;Diphenylbutylpiperidine derivatives
3762;fluspirilene;N05AG01;N05AG01;N05AG;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;Diphenylbutylpiperidine derivatives
1179;zuclopenthixol;N05AF05;N05AF05;N05AF;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;Thioxanthene derivatives
2033;tiotixene;N05AF04;N05AF04;N05AF;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;Thioxanthene derivatives
1815;chlorprothixene;N05AF03;N05AF03;N05AF;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;Thioxanthene derivatives
3506;clopenthixol;N05AF02;N05AF02;N05AF;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;Thioxanthene derivatives
1421;flupentixol;N05AF01;N05AF01;N05AF;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;Thioxanthene derivatives
629;lurasidone;N05AE05;N05AE05;N05AE;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;Indole derivatives
725;ziprasidone;N05AE04;N05AE04;N05AE;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;Indole derivatives
2697;sertindole;N05AE03;N05AE03;N05AE;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;Indole derivatives
3654;molindone;N05AE02;N05AE02;N05AE;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;Indole derivatives
3876;oxypertine;N05AE01;N05AE01;N05AE;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;Indole derivatives
1749;lumateperone;N05AD10;N05AD10;N05AD;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;Butyrophenone derivatives
6622;fluanisone;N05AD09;N05AD09;N05AD;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;Butyrophenone derivatives
1522;droperidol;N05AD08;N05AD08;N05AD;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;Butyrophenone derivatives
2675;benperidol;N05AD07;N05AD07;N05AD;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;Butyrophenone derivatives
2839;bromperidol;N05AD06;N05AD06;N05AD;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;Butyrophenone derivatives
1479;pipamperone;N05AD05;N05AD05;N05AD;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;Butyrophenone derivatives
5618;moperone;N05AD04;N05AD04;N05AD;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;Butyrophenone derivatives
1620;melperone;N05AD03;N05AD03;N05AD;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;Butyrophenone derivatives
6863;trifluperidol;N05AD02;N05AD02;N05AD;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;Butyrophenone derivatives
373;haloperidol;N05AD01;N05AD01;N05AD;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;Butyrophenone derivatives
3448;pipotiazine;N05AC04;N05AC04;N05AC;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;Phenothiazines with piperidine structure
3779;mesoridazine;N05AC03;N05AC03;N05AC;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;Phenothiazines with piperidine structure
1882;thioridazine;N05AC02;N05AC02;N05AC;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;Phenothiazines with piperidine structure
2371;periciazine;N05AC01;N05AC01;N05AC;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;Phenothiazines with piperidine structure
2171;perazine;N05AB10;N05AB10;N05AB;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;Phenothiazines with piperazine structure
5913;thioproperazine;N05AB08;N05AB08;N05AB;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;Phenothiazines with piperazine structure
5935;acetophenazine;N05AB07;N05AB07;N05AB;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;Phenothiazines with piperazine structure
2074;trifluoperazine;N05AB06;N05AB06;N05AB;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;Phenothiazines with piperazine structure
415;prochlorperazine;N05AB04;N05AB04;N05AB;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;Phenothiazines with piperazine structure
1287;perphenazine;N05AB03;N05AB03;N05AB;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;Phenothiazines with piperazine structure
1588;fluphenazine;N05AB02;N05AB02;N05AB;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;Phenothiazines with piperazine structure
4038;dixyrazine;N05AB01;N05AB01;N05AB;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;Phenothiazines with piperazine structure
6050;chlorproethazine;N05AA07;N05AA07;N05AA;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;Phenothiazines with aliphatic side-chain
1013;cyamemazine;N05AA06;N05AA06;N05AA;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;Phenothiazines with aliphatic side-chain
4733;triflupromazine;N05AA05;N05AA05;N05AA;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;Phenothiazines with aliphatic side-chain
2610;acepromazine;N05AA04;N05AA04;N05AA;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;Phenothiazines with aliphatic side-chain
1827;promazine;N05AA03;N05AA03;N05AA;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;Phenothiazines with aliphatic side-chain
949;levomepromazine;N05AA02;N05AA02;N05AA;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;Phenothiazines with aliphatic side-chain
861;chlorpromazine;N05AA01;N05AA01;N05AA;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;Phenothiazines with aliphatic side-chain
2321;antipsychotics, unspecified;N05A;N05A;N05A;N05A;N05;N;Nervous;Psycholeptics;Antipsychotics;NA
1212;istradefylline;N04CX01;N04CX01;N04CX;N04C;N04;N;Nervous;Anti-Parkinson;Other antiparkinson;Other antiparkinson drugs
1834;opicapone;N04BX04;N04BX04;N04BX;N04B;N04;N;Nervous;Anti-Parkinson;Dopaminergic;Other dopaminergic agents
3908;budipine;N04BX03;N04BX03;N04BX;N04B;N04;N;Nervous;Anti-Parkinson;Dopaminergic;Other dopaminergic agents
1016;entacapone;N04BX02;N04BX02;N04BX;N04B;N04;N;Nervous;Anti-Parkinson;Dopaminergic;Other dopaminergic agents
2710;tolcapone;N04BX01;N04BX01;N04BX;N04B;N04;N;Nervous;Anti-Parkinson;Dopaminergic;Other dopaminergic agents
2036;safinamide;N04BD03;N04BD03;N04BD;N04B;N04;N;Nervous;Anti-Parkinson;Dopaminergic;Monoamine oxidase B inhibitors
1083;rasagiline;N04BD02;N04BD02;N04BD;N04B;N04;N;Nervous;Anti-Parkinson;Dopaminergic;Monoamine oxidase B inhibitors
1439;selegiline;N04BD01;N04BD01;N04BD;N04B;N04;N;Nervous;Anti-Parkinson;Dopaminergic;Monoamine oxidase B inhibitors
742;rotigotine;N04BC09;N04BC09;N04BC;N04B;N04;N;Nervous;Anti-Parkinson;Dopaminergic;Dopamine agonists
2480;piribedil;N04BC08;N04BC08;N04BC;N04B;N04;N;Nervous;Anti-Parkinson;Dopaminergic;Dopamine agonists
909;apomorphine;N04BC07;N04BC07;N04BC;N04B;N04;N;Nervous;Anti-Parkinson;Dopaminergic;Dopamine agonists
905;cabergoline;N04BC06;N04BC06;N04BC;N04B;N04;N;Nervous;Anti-Parkinson;Dopaminergic;Dopamine agonists
558;pramipexole;N04BC05;N04BC05;N04BC;N04B;N04;N;Nervous;Anti-Parkinson;Dopaminergic;Dopamine agonists
586;ropinirole;N04BC04;N04BC04;N04BC;N04B;N04;N;Nervous;Anti-Parkinson;Dopaminergic;Dopamine agonists
3813;dihydroergocryptine;N04BC03;N04BC03;N04BC;N04B;N04;N;Nervous;Anti-Parkinson;Dopaminergic;Dopamine agonists
2348;pergolide;N04BC02;N04BC02;N04BC;N04B;N04;N;Nervous;Anti-Parkinson;Dopaminergic;Dopamine agonists
1654;bromocriptine;N04BC01;N04BC01;N04BC;N04B;N04;N;Nervous;Anti-Parkinson;Dopaminergic;Dopamine agonists
667;amantadine;N04BB01;N04BB01;N04BB;N04B;N04;N;Nervous;Anti-Parkinson;Dopaminergic;Adamantane derivatives
3264;melevodopa;N04BA04;N04BA04;N04BA;N04B;N04;N;Nervous;Anti-Parkinson;Dopaminergic;Dopa and dopa derivatives
131;carbidopa;N04BA02;N04BA02;N04BA;N04B;N04;N;Nervous;Anti-Parkinson;Dopaminergic;Dopa and dopa derivatives
934;benserazide;N04BA02;N04BA02;N04BA;N04B;N04;N;Nervous;Anti-Parkinson;Dopaminergic;Dopa and dopa derivatives
132;levodopa;N04BA01;N04BA01;N04BA;N04B;N04;N;Nervous;Anti-Parkinson;Dopaminergic;Dopa and dopa derivatives
6604;etybenzatropine;N04AC30;N04AC30;N04AC;N04A;N04;N;Nervous;Anti-Parkinson;Anticholinergic;Ethers of tropine or tropine derivatives
1033;benzatropine;N04AC01;N04AC01;N04AC;N04A;N04;N;Nervous;Anti-Parkinson;Anticholinergic;Ethers of tropine or tropine derivatives
1639;orphenadrine;N04AB02;N04AB02;N04AB;N04A;N04;N;Nervous;Anti-Parkinson;Anticholinergic;Ethers chemically close to antihistamines
1604;tropatepine;N04AA12;N04AA12;N04AA;N04A;N04;N;Nervous;Anti-Parkinson;Anticholinergic;Tertiary amines
3372;bornaprine;N04AA11;N04AA11;N04AA;N04A;N04;N;Nervous;Anti-Parkinson;Anticholinergic;Tertiary amines
4971;mazaticol;N04AA10;N04AA10;N04AA;N04A;N04;N;Nervous;Anti-Parkinson;Anticholinergic;Tertiary amines
4653;dexetimide;N04AA08;N04AA08;N04AA;N04A;N04;N;Nervous;Anti-Parkinson;Anticholinergic;Tertiary amines
3209;profenamine;N04AA05;N04AA05;N04AA;N04A;N04;N;Nervous;Anti-Parkinson;Anticholinergic;Tertiary amines
1377;procyclidine;N04AA04;N04AA04;N04AA;N04A;N04;N;Nervous;Anti-Parkinson;Anticholinergic;Tertiary amines
4620;metixene;N04AA03;N04AA03;N04AA;N04A;N04;N;Nervous;Anti-Parkinson;Anticholinergic;Tertiary amines
1201;biperiden;N04AA02;N04AA02;N04AA;N04A;N04;N;Nervous;Anti-Parkinson;Anticholinergic;Tertiary amines
1350;trihexyphenidyl;N04AA01;N04AA01;N04AA;N04A;N04;N;Nervous;Anti-Parkinson;Anticholinergic;Tertiary amines
3676;beclamide;N03AX30;N03AX30;N03AX;N03A;N03;N;Nervous;Antiepileptics;Antiepileptics;Other antiepileptics
3860;ganaxolone;N03AX27;N03AX27;N03AX;N03A;N03;N;Nervous;Antiepileptics;Antiepileptics;Other antiepileptics
1674;fenfluramine;N03AX26;N03AX26;N03AX;N03A;N03;N;Nervous;Antiepileptics;Antiepileptics;Other antiepileptics
1224;cenobamate;N03AX25;N03AX25;N03AX;N03A;N03;N;Nervous;Antiepileptics;Antiepileptics;Other antiepileptics
582;cannabidiol;N03AX24;N03AX24;N03AX;N03A;N03;N;Nervous;Antiepileptics;Antiepileptics;Other antiepileptics
1003;brivaracetam;N03AX23;N03AX23;N03AX;N03A;N03;N;Nervous;Antiepileptics;Antiepileptics;Other antiepileptics
910;perampanel;N03AX22;N03AX22;N03AX;N03A;N03;N;Nervous;Antiepileptics;Antiepileptics;Other antiepileptics
2596;retigabine;N03AX21;N03AX21;N03AX;N03A;N03;N;Nervous;Antiepileptics;Antiepileptics;Other antiepileptics
6509;carisbamate;N03AX19;N03AX19;N03AX;N03A;N03;N;Nervous;Antiepileptics;Antiepileptics;Other antiepileptics
402;lacosamide;N03AX18;N03AX18;N03AX;N03A;N03;N;Nervous;Antiepileptics;Antiepileptics;Other antiepileptics
1401;stiripentol;N03AX17;N03AX17;N03AX;N03A;N03;N;Nervous;Antiepileptics;Antiepileptics;Other antiepileptics
685;zonisamide;N03AX15;N03AX15;N03AX;N03A;N03;N;Nervous;Antiepileptics;Antiepileptics;Other antiepileptics
113;levetiracetam;N03AX14;N03AX14;N03AX;N03A;N03;N;Nervous;Antiepileptics;Antiepileptics;Other antiepileptics
5161;pheneturide;N03AX13;N03AX13;N03AX;N03A;N03;N;Nervous;Antiepileptics;Antiepileptics;Other antiepileptics
228;topiramate;N03AX11;N03AX11;N03AX;N03A;N03;N;Nervous;Antiepileptics;Antiepileptics;Other antiepileptics
1609;felbamate;N03AX10;N03AX10;N03AX;N03A;N03;N;Nervous;Antiepileptics;Antiepileptics;Other antiepileptics
142;lamotrigine;N03AX09;N03AX09;N03AX;N03A;N03;N;Nervous;Antiepileptics;Antiepileptics;Other antiepileptics
5160;phenacemide;N03AX07;N03AX07;N03AX;N03A;N03;N;Nervous;Antiepileptics;Antiepileptics;Other antiepileptics
2430;sultiame;N03AX03;N03AX03;N03AX;N03A;N03;N;Nervous;Antiepileptics;Antiepileptics;Other antiepileptics
1752;tiagabine;N03AG06;N03AG06;N03AG;N03A;N03;N;Nervous;Antiepileptics;Antiepileptics;Fatty acid derivatives
670;vigabatrin;N03AG04;N03AG04;N03AG;N03A;N03;N;Nervous;Antiepileptics;Antiepileptics;Fatty acid derivatives
1867;valpromide;N03AG02;N03AG02;N03AG;N03A;N03;N;Nervous;Antiepileptics;Antiepileptics;Fatty acid derivatives
348;valproic acid;N03AG01;N03AG01;N03AG;N03A;N03;N;Nervous;Antiepileptics;Antiepileptics;Fatty acid derivatives
1289;eslicarbazepine;N03AF04;N03AF04;N03AF;N03A;N03;N;Nervous;Antiepileptics;Antiepileptics;Carboxamide derivatives
1458;rufinamide;N03AF03;N03AF03;N03AF;N03A;N03;N;Nervous;Antiepileptics;Antiepileptics;Carboxamide derivatives
495;oxcarbazepine;N03AF02;N03AF02;N03AF;N03A;N03;N;Nervous;Antiepileptics;Antiepileptics;Carboxamide derivatives
307;carbamazepine;N03AF01;N03AF01;N03AF;N03A;N03;N;Nervous;Antiepileptics;Antiepileptics;Carboxamide derivatives
75;clonazepam;N03AE01;N03AE01;N03AE;N03A;N03;N;Nervous;Antiepileptics;Antiepileptics;Benzodiazepine derivatives
2827;mesuximide;N03AD03;N03AD03;N03AD;N03A;N03;N;Nervous;Antiepileptics;Antiepileptics;Succinimide derivatives
5301;phensuximide;N03AD02;N03AD02;N03AD;N03A;N03;N;Nervous;Antiepileptics;Antiepileptics;Succinimide derivatives
1448;ethosuximide;N03AD01;N03AD01;N03AD;N03A;N03;N;Nervous;Antiepileptics;Antiepileptics;Succinimide derivatives
6596;ethadione;N03AC03;N03AC03;N03AC;N03A;N03;N;Nervous;Antiepileptics;Antiepileptics;Oxazolidine derivatives
3546;trimethadione;N03AC02;N03AC02;N03AC;N03A;N03;N;Nervous;Antiepileptics;Antiepileptics;Oxazolidine derivatives
5158;paramethadione;N03AC01;N03AC01;N03AC;N03A;N03;N;Nervous;Antiepileptics;Antiepileptics;Oxazolidine derivatives
1634;fosphenytoin;N03AB05;N03AB05;N03AB;N03A;N03;N;Nervous;Antiepileptics;Antiepileptics;Hydantoin derivatives
4103;mephenytoin;N03AB04;N03AB04;N03AB;N03A;N03;N;Nervous;Antiepileptics;Antiepileptics;Hydantoin derivatives
418;phenytoin;N03AB02;N03AB02;N03AB;N03A;N03;N;Nervous;Antiepileptics;Antiepileptics;Hydantoin derivatives
3982;ethotoin;N03AB01;N03AB01;N03AB;N03A;N03;N;Nervous;Antiepileptics;Antiepileptics;Hydantoin derivatives
6706;metharbital;N03AA30;N03AA30;N03AA;N03A;N03;N;Nervous;Antiepileptics;Antiepileptics;Barbiturates and derivatives
3732;barbexaclone;N03AA04;N03AA04;N03AA;N03A;N03;N;Nervous;Antiepileptics;Antiepileptics;Barbiturates and derivatives
784;primidone;N03AA03;N03AA03;N03AA;N03A;N03;N;Nervous;Antiepileptics;Antiepileptics;Barbiturates and derivatives
593;phenobarbital;N03AA02;N03AA02;N03AA;N03A;N03;N;Nervous;Antiepileptics;Antiepileptics;Barbiturates and derivatives
3619;methylphenobarbital;N03AA01;N03AA01;N03AA;N03A;N03;N;Nervous;Antiepileptics;Antiepileptics;Barbiturates and derivatives
2594;antiepileptics, unspecified;N03A;N03A;N03A;N03A;N03;N;Nervous;Antiepileptics;Antiepileptics;NA
2807;oxetorone;N02CX06;N02CX06;N02CX;N02C;N02;N;Nervous;Analgesics;Antimigraine;Other antimigraine preparations
4813;dimetotiazine;N02CX05;N02CX05;N02CX;N02C;N02;N;Nervous;Analgesics;Antimigraine;Other antimigraine preparations
4359;iprazochrome;N02CX03;N02CX03;N02CX;N02C;N02;N;Nervous;Analgesics;Antimigraine;Other antimigraine preparations
303;clonidine;N02CX02;N02CX02;N02CX;N02C;N02;N;Nervous;Analgesics;Antimigraine;Other antimigraine preparations
2501;pizotifen;N02CX01;N02CX01;N02CX;N02C;N02;N;Nervous;Analgesics;Antimigraine;Other antimigraine preparations
1736;atogepant;N02CD07;N02CD07;N02CD;N02C;N02;N;Nervous;Analgesics;Antimigraine;Calcitonin gene-related peptide (CGRP) antagonists
1132;rimegepant;N02CD06;N02CD06;N02CD;N02C;N02;N;Nervous;Analgesics;Antimigraine;Calcitonin gene-related peptide (CGRP) antagonists
1538;eptinezumab;N02CD05;N02CD05;N02CD;N02C;N02;N;Nervous;Analgesics;Antimigraine;Calcitonin gene-related peptide (CGRP) antagonists
1601;ubrogepant;N02CD04;N02CD04;N02CD;N02C;N02;N;Nervous;Analgesics;Antimigraine;Calcitonin gene-related peptide (CGRP) antagonists
1085;fremanezumab;N02CD03;N02CD03;N02CD;N02C;N02;N;Nervous;Analgesics;Antimigraine;Calcitonin gene-related peptide (CGRP) antagonists
591;galcanezumab;N02CD02;N02CD02;N02CD;N02C;N02;N;Nervous;Analgesics;Antimigraine;Calcitonin gene-related peptide (CGRP) antagonists
423;erenumab;N02CD01;N02CD01;N02CD;N02C;N02;N;Nervous;Analgesics;Antimigraine;Calcitonin gene-related peptide (CGRP) antagonists
