;pt;standard_pt
2139;testosterone low;blood testosterone decreased
2140;lymphoma nos;lymphoma
2141;attention deficit-hyperactivity disorder;attention deficit hyperactivity disorder
2142;chronic myeloid leukemia;chronic myeloid leukaemia
2143;indigestion;dyspepsia
2144;coronary artery bypass graft;coronary artery bypass
2145;knee arthritis;arthritis
2146;mri brain;magnetic resonance imaging head
2147;menstrual cramp;dysmenorrhoea
2148;sore throat;oropharyngeal pain
2149;central retinal vein occlusion;retinal vein occlusion
2150;nausea prophylaxis;prophylaxis of nausea and vomiting
2151;5q minus mds;5q minus syndrome
2152;follicular b-cell non-hodgkin's lymphoma;follicular lymphoma
2153;general anesthesia;general anaesthesia
2154;diabetic peripheral neuropathy;diabetic neuropathy
2155;anxiety depression;depression
2156;benign prostatic hypertrophy;benign prostatic hyperplasia
2157;intraocular pressure;intraocular pressure test
2158;swelling of legs;peripheral swelling
2159;venous thromboembolism prophylaxis;thrombosis prophylaxis
2160;lung metastases;metastases to lung
2161;flu;influenza
2162;hepatitis b immunization;hepatitis b immunisation
2163;urothelial carcinoma;transitional cell carcinoma
2164;menstrual cramps;dysmenorrhoea
2165;upper respiratory infection;upper respiratory tract infection
2166;itching;pruritus
2167;hypercholesteraemia;hypercholesterolaemia
2168;weight loss;weight decreased
2169;sle;systemic lupus erythematosus
2170;urinary infection;urinary tract infection
2171;lupus erythematosus;systemic lupus erythematosus
2172;lh decreased;blood luteinising hormone decreased
2173;dysmenorrhea;dysmenorrhoea
2174;degenerative disc disease;intervertebral disc degeneration
2175;lumbar pain;back pain
2176;cardiac disorder prophylaxis;cardiovascular event prophylaxis
2177;st segment elevation myocardial infarction;acute myocardial infarction
2178;thromboembolism prophylaxis;thrombosis prophylaxis
2179;paranoid schizophrenia;schizophrenia
2180;esophageal cancer;oesophageal carcinoma
2181;fungal infection of nail;onychomycosis
2182;hrt;hormone replacement therapy
2183;tuberculous meningitis;meningitis tuberculous
2184;colon carcinoma;colon cancer
2185;stomach pain;abdominal pain upper
2186;enterococcal bacteremia;enterococcal bacteraemia
2187;suicide;completed suicide
2188;chronic myelomonocytic leukemia;chronic myelomonocytic leukaemia
2189;foot pain;pain in extremity
2190;ischemic heart disease;myocardial ischaemia
2191;pain in arm;pain in extremity
2192;induction of anesthesia;induction of anaesthesia
2193;chronic lymphoid leukaemia;chronic lymphocytic leukaemia
2194;lh blood decreased;blood luteinising hormone decreased
2195;thyroid stimulating hormone decreased;blood thyroid stimulating hormone decreased
2196;systemic antifungal treatment;antifungal treatment
2197;malignant lymphoma;lymphoma
2198;gastroparesis;impaired gastric emptying
2199;acute bronchitis;bronchitis
2200;hypercholesteremia;hypercholesterolaemia
2201;menses irregular;menstruation irregular
2202;common variable immunodeficiency;immunodeficiency common variable
2203;numbness;hypoaesthesia
2204;hypokalemia;hypokalaemia
2205;pain in foot;pain in extremity
2206;wrinkles;skin wrinkling
2207;difficulty sleeping;insomnia
2208;chronic renal failure;chronic kidney disease
2209;helicobacter pylori infection;helicobacter infection
2210;common cold;nasopharyngitis
2211;malignant neoplasm nos;neoplasm malignant
2212;sleeplessness;insomnia
2213;cold symptoms;nasopharyngitis
2214;cramps;muscle spasms
2215;bipolar affective disorder;bipolar disorder
2216;painful feet;pain in extremity
2217;lumbar spondylosis;spinal osteoarthritis
2218;hemorrhoids;haemorrhoids
2219;menstruation increased;heavy menstrual bleeding
2220;magnetic resonance imaging liver;magnetic resonance imaging hepatobiliary
2221;local antibacterial therapy;antibiotic therapy
2222;local antifungal treatment;antifungal treatment
2223;diabetic peripheral neuropathic pain;diabetic neuropathy
2224;adenocarcinoma lung;lung adenocarcinoma
2225;neurogenic pain;neuralgia
2226;menstrual irregularity;menstruation irregular
2227;carcinoma of the prostate metastatic;prostate cancer metastatic
2228;glabellar frown lines;skin wrinkling
2229;cardiac arrhythmia;arrhythmia
2230;nodular lymphoma;b-cell lymphoma
2231;peripheral arterial disease;peripheral arterial occlusive disease
2232;mood variable;mood swings
2233;acute myeloblastic leukemia;acute myeloid leukaemia
2234;adenocarcinoma of the gastroesophageal junction;oesophageal adenocarcinoma
2235;backache;back pain
2236;headache nos;headache
2237;lymphoblastic lymphoma;non-hodgkin's lymphoma
2238;unspecified hypothyroidism;hypothyroidism
2239;coronary insufficiency;coronary artery insufficiency
2240;thyroid function decreased;hypothyroidism
2241;thyroid disorder nos;thyroid disorder
2242;hypertriglyceridemia;hypertriglyceridaemia
2243;metastatic renal carcinoma;renal cancer metastatic
2244;tonic-clonic seizures;generalised tonic-clonic seizure
2245;polycystic ovary;polycystic ovaries
2246;hemophilia;haemophilia
2247;reflux esophagitis;gastrooesophageal reflux disease
2248;macular edema;macular oedema
2249;leg spasticity;muscle spasticity
2250;brain metastases;metastases to central nervous system
2251;drug use for unapproved indication;product use in unapproved indication
2252;malignant neoplasm of prostate;prostate cancer
2253;hiv disease;hiv infection
2254;grand mal seizure;generalised tonic-clonic seizure
2255;ankle swelling;joint swelling
2256;tia;transient ischaemic attack
2257;copd exacerbation;chronic obstructive pulmonary disease
2258;chronic myelogenous leukemia;chronic myeloid leukaemia
2259;urinary frequency;pollakiuria
2260;leukemia;leukaemia
2261;non st segment elevation myocardial infarction;acute myocardial infarction
2262;malignant neoplasm without specification of site;neoplasm malignant
2263;mycosis;fungal infection
2264;maternal drug exposure;maternal exposure timing unspecified
2265;iddm;type 1 diabetes mellitus
2266;gallbladder cancer non-resectable;gallbladder cancer
2267;fibroids;uterine leiomyoma
2268;mri angiography;angiogram
2269;peripheral neuropathy nos;neuropathy peripheral
2270;community acquired pneumonia;pneumonia
2271;attempted suicide;suicide attempt
2272;hiatal hernia;hiatus hernia
2273;potassium low;blood potassium decreased
2274;igg myeloma;plasma cell myeloma
2275;breathing difficult;dyspnoea
2276;prostate carcinoma;prostate cancer
2277;allergic asthma;asthma
2278;allergic conjunctivitis;conjunctivitis allergic
2279;tyrosinemia type i;tyrosinaemia
2280;esophagitis;oesophagitis
2281;chronic bronchitis;bronchitis chronic
2282;bladder incontinence;urinary incontinence
2283;plasma cell leukemia;plasma cell leukaemia
2284;hashimoto's thyroiditis;autoimmune thyroiditis
2285;raised iop;intraocular pressure increased
2286;malignant neoplasm of ovary;ovarian cancer
2287;rheumatism;rheumatic disorder
2288;chronic idiopathic constipation;constipation
2289;joint infection;arthritis infective
2290;spasms;muscle spasms
2291;disorder circulatory system;cardiovascular disorder
2292;ihd;myocardial ischaemia
2293;iron supplementation;mineral supplementation
2294;malignant neoplasm of stomach;gastric cancer
2295;primary central nervous system lymphoma;central nervous system lymphoma
2296;genital bleeding;genital haemorrhage
2297;chemoembolization;therapeutic embolisation
2298;oral contraceptive;oral contraception
2299;chest infection;lower respiratory tract infection
2300;diabetic;diabetes mellitus
2301;gastroesophageal cancer;gastrooesophageal cancer
2302;idiopathic pulmonary arterial hypertension;pulmonary arterial hypertension
2303;breast ductal cancer infiltrating;invasive ductal breast carcinoma
2304;acute pain;pain
2305;colorectal carcinoma;colorectal cancer
2306;arterial infusion chemotherapy;regional chemotherapy
2307;thyroidectomy partial;thyroidectomy
2308;depression postmenopausal;menopausal depression
2309;antihistamine therapy;antiallergic therapy
2310;cabg;coronary artery bypass
2311;irregular menstruation;menstruation irregular
2312;irregular periods;menstruation irregular
2313;siadh;inappropriate antidiuretic hormone secretion
2314;atrial fibrillation with rapid ventricular response;atrial fibrillation
2315;thrush;candida infection
2316;raeb;refractory anaemia with an excess of blasts
2317;hyponatremia;hyponatraemia
2318;water retention;fluid retention
2319;heartbeats irregular;heart rate irregular
2320;intraocular pressure high;intraocular pressure increased
2321;mucositis;mucosal inflammation
2322;anaphylaxis;anaphylactic reaction
2323;tumor lysis syndrome;tumour lysis syndrome
2324;non-insulin-dependent diabetes mellitus;type 2 diabetes mellitus
2325;prostatic hyperplasia;benign prostatic hyperplasia
2326;hypogammaglobulinemia;hypogammaglobulinaemia
2327;pulmonary aspergillosis;bronchopulmonary aspergillosis
2328;hay fever;seasonal allergy
2329;chronic migraine;migraine
2330;secondary prevention;prophylaxis
2331;asthma bronchial;asthma
2332;blood sugar increased;blood glucose increased
2333;exudative senile macular degeneration of retina;neovascular age-related macular degeneration
2334;continuous cycling peritoneal dialysis;peritoneal dialysis
2335;transcatheter arterial embolization;therapeutic embolisation
2336;pancreatic adenocarcinoma;adenocarcinoma pancreas
2337;intractable epilepsy;epilepsy
2338;seronegative rheumatoid arthritis;rheumatoid arthritis
2339;invasive ductal breast cancer;invasive ductal breast carcinoma
2340;raynaud's disease;raynaud's phenomenon
2341;cholesterol blood increased;blood cholesterol increased
2342;kidney failure;renal failure
2343;malignant tongue cancer;tongue neoplasm malignant stage unspecified
2344;dyspnea;dyspnoea
2345;staphylococcal bacteremia;staphylococcal bacteraemia
2346;pain ankle;arthralgia
2347;miliary tuberculosis;disseminated tuberculosis
2348;endoscopic vessel harvesting;vessel harvesting
2349;surgical haemostasis;haemostasis
2350;extragonadal primary germ cell cancer;extragonadal primary germ cell tumour
2351;nuclear magnetic resonance imaging whole body;magnetic resonance imaging whole body
2352;pancreas cancer;pancreatic carcinoma
2353;renal insufficiency;renal failure
2354;open heart surgery;cardiac operation
2355;metastases to brain;metastases to central nervous system
2356;opioid type dependence;drug dependence
2357;5q minus myelodysplastic syndrome;5q minus syndrome
2358;stemi;acute myocardial infarction
2359;endocarditis infective;endocarditis
2360;hives;urticaria
2361;palpitation;palpitations
2362;pancreatic adenocarcinoma metastatic;pancreatic carcinoma metastatic
2363;anesthesia local;local anaesthesia
2364;aspiration pneumonia;pneumonia aspiration
2365;pain in knee;arthralgia
2366;gastrooesophageal reflux;gastrooesophageal reflux disease
2367;ache;pain
2368;anxiety attack;anxiety
2369;pneumocystis carinii prophylaxis;antifungal prophylaxis
2370;pancreatic neuroendocrine tumor;pancreatic neuroendocrine tumour
2371;arterial occlusion;arterial occlusive disease
2372;stent insertion nos;stent placement
2373;cardiac dysrhythmias;arrhythmia
2374;catheter infection;device related infection
2375;waldenstrom's macroglobulinemia;waldenstrom's macroglobulinaemia
2376;alcohol dependence syndrome;alcoholism
2377;breast ductal carcinoma;invasive ductal breast carcinoma
2378;adenocarcinoma of lung;lung adenocarcinoma
2379;malignant neoplasm of brain;brain neoplasm malignant
2380;influenza a virus infection;influenza
2381;iop increased;intraocular pressure increased
2382;bipolar depression;bipolar disorder
2383;chronic depression;depression
2384;renal carcinoma;renal cancer
2385;juvenile rheumatoid arthritis;juvenile idiopathic arthritis
2386;small cell lymphocytic lymphoma;b-cell small lymphocytic lymphoma
2387;brain tumor;brain neoplasm
2388;depressive episode;depression
2389;regional nerve block;nerve block
2390;spinal stenosis nos;spinal stenosis
2391;bowel cancer;gastrointestinal carcinoma
2392;urothelial carcinoma bladder;bladder transitional cell carcinoma
2393;prophylaxis against rh isoimmunization;prophylaxis against rh isoimmunisation
2394;hepatocellular carcinoma non-resectable;hepatocellular carcinoma
2395;helicobacter pylori gastritis;helicobacter gastritis
2396;epididymo-orchitis;orchitis
2397;neck discomfort;musculoskeletal discomfort
2398;neuralgia nos;neuralgia
2399;dysautonomia;autonomic nervous system imbalance
2400;gastric resection;gastrectomy
2401;unspecified disorder of thyroid;thyroid disorder
2402;tuberculous peritonitis;peritoneal tuberculosis
2403;prophylaxis nos;prophylaxis
2404;peripheral nerve disorder nos;neuropathy peripheral
2405;infection nos;infection
2406;pain in limb;pain in extremity
2407;rib pain;musculoskeletal chest pain
2408;hypocalcemia;hypocalcaemia
2409;gastroesophageal reflux prophylaxis;gastrooesophageal reflux prophylaxis
2410;interstitial pneumonia;interstitial lung disease
2411;frown lines;skin wrinkling
2412;perimenopausal symptoms;menopausal symptoms
2413;glaucoma both eyes;glaucoma
2414;malignant neoplasm of liver, primary;hepatic cancer
2415;queasy;nausea
2416;hyperacidity;hyperchlorhydria
2417;oral thrush;oral candidiasis
2418;difficulty breathing;dyspnoea
2419;lung carcinoma;lung neoplasm malignant
2420;diuresis;polyuria
2421;cml;chronic myeloid leukaemia
2422;calcium supplementation;mineral supplementation
2423;papuloerythematous drug eruption;drug eruption
2424;anemic;anaemia
2425;hypothyroidism post ablative;post procedural hypothyroidism
2426;heart disease, unspecified;cardiac disorder
2427;manic depression;bipolar i disorder
2428;staphylococcus aureus bacteremia;staphylococcal bacteraemia
2429;malignant solid tumor;neoplasm malignant
2430;hemophagocytic syndrome;haemophagocytic lymphohistiocytosis
2431;cystic acne;acne cystic
2432;hormonal imbalance;hormone level abnormal
2433;insulin-dependent diabetes mellitus;type 1 diabetes mellitus
2434;diabetic macular edema;diabetic retinal oedema
2435;non-small cell lung cancer nos;non-small cell lung cancer
2436;kidney stone;nephrolithiasis
2437;hashimoto's disease;autoimmune thyroiditis
2438;coronary disease;coronary artery disease
2439;convulsion disorder;seizure
2440;total knee replacement;knee arthroplasty
2441;anaplastic large-cell lymphoma, primary systemic type;anaplastic large cell lymphoma t- and null-cell types
2442;crow's feet;skin wrinkling
2443;reaction unevaluable;unevaluable event
2444;venous thromboembolism;embolism venous
2445;lumbago;back pain
2446;restless legs;restless legs syndrome
2447;epileptic seizure;epilepsy
2448;testicular cancer;testis cancer
2449;increased blood pressure;blood pressure increased
2450;digestion impaired;dyspepsia
2451;lumbar disc herniation;intervertebral disc protrusion
2452;foot discomfort;limb discomfort
2453;asthma, unspecified;asthma
2454;amyloidosis nos;amyloidosis
2455;deliberate self-harm;intentional self-injury
2456;ischemic stroke;ischaemic stroke
2457;tooth pain;toothache
2458;overdose intentional;intentional overdose
2459;thrombophilia;hypercoagulation
2460;cholangiocarcinoma non-resectable;cholangiocarcinoma
2461;unrest;restlessness
2462;malignant neoplasm of rectum;rectal cancer
2463;liver carcinoma;hepatic cancer
2464;essential hypertension, unspecified;essential hypertension
2465;neutropenic fever;febrile neutropenia
2466;epidural abscess;extradural abscess
2467;advanced breast cancer;breast cancer
2468;cloves syndrome;pik3ca related overgrowth spectrum
2469;failed back surgery syndrome;post laminectomy syndrome
2470;computed tomographic colonography;computerised tomogram intestine
2471;vaginal itching;vulvovaginal pruritus
2472;cholesterol total abnormal nos;blood cholesterol abnormal
2473;unilateral leg pain;pain in extremity
2474;congestion nasal;nasal congestion
2475;cholesterol levels raised;blood cholesterol increased
2476;hemoglobin low;haemoglobin decreased
2477;hyperkalemia;hyperkalaemia
2478;renal anemia;nephrogenic anaemia
2479;pruritis;pruritus
2480;uterine bleeding;uterine haemorrhage
2481;hand pain;pain in extremity
2482;lipodystrophy;lipodystrophy acquired
2483;gvhd;graft versus host disease
2484;leg discomfort;limb discomfort
2485;allergy multiple;multiple allergies
2486;energy decreased;asthenia
2487;thyroid activity decreased;hypothyroidism
2488;pre-diabetes;glucose tolerance impaired
2489;pain of lower extremities;pain in extremity
2490;triglyceride increased;blood triglycerides increased
2491;pain in spine;spinal pain
2492;rectal carcinoma;rectal cancer
2493;irregular menstrual cycle;menstruation irregular
2494;arm spasticity;muscle spasticity
2495;kidney disorder;renal disorder
2496;kidney pain;renal pain
2497;stomach cancer;gastric cancer
2498;coagulation disorder;coagulopathy
2499;dorsalgia;back pain
2500;anxiodepressive syndrome;mixed anxiety and depressive disorder
2501;mucositis oral;stomatitis
2502;symptomatic epilepsy;epilepsy
2503;hip replacement;hip arthroplasty
2504;obstipation;constipation
2505;bp;blood pressure measurement
2506;immune-mediated thrombocytopenic purpura;immune thrombocytopenia
2507;bone disorder nos;bone disorder
2508;behavior disorder;behaviour disorder
2509;angiography;angiogram
2510;swelling of feet;peripheral swelling
2511;blood disorder nos;blood disorder
2512;pain in joint;arthralgia
2513;myocardial infarction prophylaxis;ischaemic heart disease prophylaxis
2514;bladder retention;urinary retention
2515;uric acid increased;blood uric acid increased
2516;hepatic metastases;metastases to liver
2517;skin eruption;rash
2518;sleep apnea;sleep apnoea syndrome
2519;graves' disease;basedow's disease
2520;idiopathic short stature;short stature
2521;weakness;asthenia
2522;aids;acquired immunodeficiency syndrome
2523;focal epilepsy;partial seizures
2524;constipation chronic;constipation
2525;streptococcal sore throat;pharyngitis streptococcal
2526;metastatic carcinoma;metastatic neoplasm
2527;pulmonary edema;pulmonary oedema
2528;crohn's;crohn's disease
2529;bypass surgery;vascular graft
2530;cidp;chronic inflammatory demyelinating polyradiculoneuropathy
2531;itchy skin;pruritus
2532;diabetic foot ulcer;diabetic foot
2533;ldl increased;low density lipoprotein increased
2534;cessation of smoking;ex-tobacco user
2535;neurological disorder nos;nervous system disorder
2536;cancer of prostate;prostate cancer
2537;intravascular large b-cell lymphoma;diffuse large b-cell lymphoma
2538;electrolyte replacement;electrolyte substitution therapy
2539;ovarian adenocarcinoma;ovarian epithelial cancer
2540;overdose deliberate self-inflicted;intentional overdose
2541;worms;helminthic infection
2542;runny nose;rhinorrhoea
2543;acute pyelonephritis;pyelonephritis acute
2544;hemorrhagic cystitis;cystitis haemorrhagic
2545;hypoglycemia;hypoglycaemia
2546;stomach ulcer;gastric ulcer
2547;spontaneous bacterial peritonitis;peritonitis bacterial
2548;cardiac catheterisation;catheterisation cardiac
2549;bipolar affective disorder, mixed;bipolar i disorder
2550;pain menstrual;dysmenorrhoea
2551;oral hygiene;dental disorder prophylaxis
2552;head pain;headache
2553;pancolitis;colitis
2554;increased ldl;low density lipoprotein increased
2555;numbness in feet;hypoaesthesia
2556;numbness in leg;hypoaesthesia
2557;staphylococcus epidermidis infection;staphylococcal infection
2558;deliberate overdose;intentional overdose
2559;teething pain;teething
2560;urinary urgency;micturition urgency
2561;flu symptoms;influenza
2562;acute lymphoid leukemia;acute lymphocytic leukaemia
2563;spondylodiscitis;intervertebral discitis
2564;lymph node metastases;metastases to lymph nodes
2565;unspecified otitis media;otitis media
2566;depressive illness;depression
2567;throat pain;oropharyngeal pain
2568;septicemia gram-negative;bacterial sepsis
2569;empiric treatment;evidence based treatment
2570;carcinoma nos;neoplasm malignant
2571;ischialgia;sciatica
2572;hematoma;haematoma
2573;acute gastroenteritis;gastroenteritis
2574;infiltrating ductal breast cancer;invasive ductal breast carcinoma
2575;nuclear magnetic resonance imaging spinal normal;magnetic resonance imaging spinal normal
2576;corn removal;skin lesion removal
2577;influenza serology;influenza virus test
2578;pericardial mesothelioma malignant advanced;pericardial mesothelioma malignant
2579;itchy rash;rash pruritic
2580;bacterial infection due to staphylococcus aureus;staphylococcal infection
2581;flu like symptoms;influenza like illness
2582;primary open angle glaucoma;open angle glaucoma
2583;generalized tonic-clonic seizure;generalised tonic-clonic seizure
2584;hyperphosphatemia;hyperphosphataemia
2585;drug overdose;overdose
2586;gastrointestinal symptom nos;gastrointestinal disorder
2587;cramps menstrual;dysmenorrhoea
2588;labor induction;labour induction
2589;herpes nos;herpes virus infection
2590;entrapment neuropathy;nerve compression
2591;b-cell lymphoma nos;b-cell lymphoma
2592;pain back;back pain
2593;uterine myoma;uterine leiomyoma
2594;haemophilia a;factor viii deficiency
2595;arthrosis multiple;osteoarthritis
2596;nervous breakdown;mental disorder
2597;vomiting prophylaxis;prophylaxis of nausea and vomiting
2598;intervertebral disc bulging;intervertebral disc protrusion
2599;intervertebral disc herniation;intervertebral disc protrusion
2600;vitamin deficiency;hypovitaminosis
2601;right heart failure;right ventricular failure
2602;multiple vessel bypass;coronary artery bypass
2603;relaxation;feeling of relaxation
2604;post mi;myocardial infarction
2605;breast carcinoma stage iii;breast cancer stage iii
2606;recurrent urinary tract infection;urinary tract infection
2607;hand and foot skin reaction;palmar-plantar erythrodysaesthesia syndrome
2608;intractable pain;pain
2609;anaplastic ependymoma;ependymoma malignant
2610;prostatic hypertrophy;benign prostatic hyperplasia
2611;gastrointestinal disorder nos;gastrointestinal disorder
2612;adenocarcinoma of colon stage iii;adenocarcinoma of colon
2613;cervical pain;neck pain
2614;partial epilepsy;partial seizures
2615;acute myeloblastic leukaemia;acute myeloid leukaemia
2616;pituitary dwarfism;dwarfism
2617;oedema lower limb;oedema peripheral
2618;hypercalcemia;hypercalcaemia
2619;allergy nos;hypersensitivity
2620;chronic lymphatic leukemia;chronic lymphocytic leukaemia
2621;vulvovaginal atrophy;atrophic vulvovaginitis
2622;blood transfusion dependent;blood product transfusion dependent
2623;cystoid macular edema;cystoid macular oedema
2624;hemodialysis;haemodialysis
2625;skin rash;rash
2626;b-cell chronic lymphocytic leukaemia;chronic lymphocytic leukaemia
2627;stomach upset;abdominal discomfort
2628;follicle stimulating hormone decreased;blood follicle stimulating hormone decreased
2629;human immunodeficiency virus syndrome;hiv infection
2630;antidiuretic hormone decreased;blood antidiuretic hormone decreased
2631;arthritis rheumatoid;rheumatoid arthritis
2632;nausea post chemotherapy;nausea
2633;solid tumor;neoplasm
2634;knee surgery nos;knee operation
2635;generalized itching;pruritus
2636;hemostasis;haemostasis
2637;coagulation defects, other and unspecified;coagulopathy
2638;pinkeye;conjunctivitis
2639;drug-eluting coronary stent placement;coronary arterial stent insertion
2640;esophageal squamous cell carcinoma;oesophageal squamous cell carcinoma
2641;vaginal yeast infection;vulvovaginal mycotic infection
2642;root canal procedure;endodontic procedure
2643;cushing's disease;pituitary-dependent cushing's syndrome
2644;subarachnoid hemorrhage;subarachnoid haemorrhage
2645;tumor pain;tumour pain
2646;drug addiction;drug dependence
2647;vancomycin-resistant enterococcal infection;enterococcal infection
2648;chickenpox;varicella
2649;muscle ache;myalgia
2650;drug poisoning;toxicity to various agents
2651;coronary sclerosis;arteriosclerosis coronary artery
2652;small bowel obstruction;small intestinal obstruction
2653;memory disturbance;memory impairment
2654;sepsis nos;sepsis
2655;disorder sleep;sleep disorder
2656;right otitis externa;otitis externa
2657;cramp;muscle spasms
2658;gonarthrosis;osteoarthritis
2659;peripheral hemopoietic stem cell transplant;stem cell transplant
2660;esophageal reflux;gastrooesophageal reflux disease
2661;epigastralgia;abdominal pain upper
2662;spider bite;arthropod bite
2663;lung cancer stage iv;lung carcinoma cell type unspecified stage iv
2664;lipids nos;lipids
2665;muscle cramps;muscle spasms
2666;neuroendocrine tumor;neuroendocrine tumour
2667;gout flare;gout
2668;throat infection;pharyngitis
2669;wbc increased;white blood cell count increased
2670;head lice;lice infestation
2671;escherichia coli bacteremia;escherichia bacteraemia
2672;osteoarthrosis;osteoarthritis
2673;pulled muscle;muscle strain
2674;uncontrolled hypertension;hypertension
2675;contact dermatitis;dermatitis contact
2676;pneumococcal pneumonia;pneumonia pneumococcal
2677;nose infection nos;rhinitis
2678;cancer (nos);neoplasm malignant
2679;cramp in lower abdomen;abdominal pain lower
2680;thrombosis leg;thrombosis
2681;asperger's syndrome;autism spectrum disorder
2682;major depressive disorder, recurrent episode;major depression
2683;psychiatric disorder nos;mental disorder
2684;unspecified inflammatory polyarthropathy;polyarthritis
2685;esophageal acid reflux;gastrooesophageal reflux disease
2686;clotting disorder;coagulopathy
2687;ductal breast carcinoma stage ii;invasive ductal breast carcinoma
2688;central diabetes insipidus;diabetes insipidus
2689;low mood;depressed mood
2690;lung nodule;pulmonary mass
2691;impotence;erectile dysfunction
2692;pancreas carcinoma;pancreatic carcinoma
2693;pulmonary cryptococcosis;pneumonia cryptococcal
2694;stature short;short stature
2695;postmenopausal symptoms;menopausal symptoms
2696;acquired immune deficiency syndrome;acquired immunodeficiency syndrome
2697;duodenal carcinoma recurrent;small intestine carcinoma recurrent
2698;hyperglycemia;hyperglycaemia
2699;sciatic neuralgia;sciatica
2700;wrist pain;arthralgia
2701;dental abscess;tooth abscess
2702;acute promyelocytic leukemia;acute promyelocytic leukaemia
2703;decompensation cardiac;cardiac failure
2704;hypertonic uterine contraction;uterine hypertonus
2705;benign essential hypertension;essential hypertension
2706;staphylococcus aureus endocarditis;endocarditis staphylococcal
2707;nosocomial pneumonia;pneumonia
2708;prophylaxis against lung transplant rejection;prophylaxis against transplant rejection
2709;persistent atrial fibrillation;atrial fibrillation
2710;chronic mastoiditis;mastoiditis
2711;triglycerides abnormal;blood triglycerides abnormal
2712;implant infection;device related infection
2713;viremia;viraemia
2714;hospital acquired infection;nosocomial infection
2715;malignant neoplasm of sigmoid colon;colon cancer
2716;in vitro fertilization;in vitro fertilisation
2717;premature birth;premature baby
2718;acute leukemia;acute leukaemia
2719;bloating;abdominal distension
2720;root abscess;tooth abscess
2721;hepatitis prophylaxis;antiviral prophylaxis
2722;paranoid psychosis;psychotic disorder
2723;wilms tumor;nephroblastoma
2724;chronic osteomyelitis;osteomyelitis chronic
2725;local antiviral treatment;antiviral treatment
2726;hiv infection cdc category c1;hiv infection cdc category c
2727;pompe's disease;glycogen storage disease type ii
2728;computerized tomogram abdomen;computerised tomogram abdomen
2729;open-angle glaucoma;open angle glaucoma
2730;low platelets;platelet count decreased
2731;absence seizure;petit mal epilepsy
2732;tension headaches;tension headache
2733;caecal cancer;colon cancer
2734;diverticulosis;diverticulum
2735;pneumopathy;lung disorder
2736;lobular carcinoma of breast;invasive lobular breast carcinoma
2737;magnesium supplementation;mineral supplementation
2738;uterine fibroid;uterine leiomyoma
2739;chronic fatigue;fatigue
2740;chemotherapy antiemetic prophylaxis;prophylaxis of nausea and vomiting
2741;vaginal bleeding;vaginal haemorrhage
2742;dilatation pupillary;mydriasis
2743;myelomatosis;plasma cell myeloma
2744;obstructive sleep apnea syndrome;sleep apnoea syndrome
2745;dependence on renal dialysis;device dependence
2746;hypomagnesemia;hypomagnesaemia
2747;lymphoma (non-hodgkin's);non-hodgkin's lymphoma
2748;pain in elbow;arthralgia
2749;acute myeloid leukemia nos;acute myeloid leukaemia
2750;back pain aggravated;back pain
2751;hypoalbuminemia;hypoalbuminaemia
2752;burning foot;burning sensation
2753;uremia;azotaemia
2754;postoperative pain relief;postoperative analgesia
2755;infected toe;localised infection
2756;menstrual migraine;migraine
2757;pneumonia mrsa;pneumonia staphylococcal
2758;cold sores;oral herpes
2759;carcinoma of tongue;tongue neoplasm malignant stage unspecified
2760;hyperlipoproteinemia;hyperlipidaemia
2761;malignant hepatic neoplasm;hepatic cancer
2762;exacerbation of asthma;asthma
2763;sezary syndrome;cutaneous t-cell lymphoma
2764;sweating;hyperhidrosis
2765;cardiac failure nos;cardiac failure
2766;spasmodic torticollis;torticollis
2767;chronic insomnia;insomnia
2768;anginal pain;angina pectoris
2769;oedema of lower extremities;oedema peripheral
2770;hallucinations;hallucination
2771;allergic rash;dermatitis allergic
2772;luteinising hormone decreased;blood luteinising hormone decreased
2773;cardiac catheterization;catheterisation cardiac
2774;sensory peripheral neuropathy;peripheral sensory neuropathy
2775;birth control pill;oral contraception
2776;multiple myeloma progression;plasma cell myeloma
2777;polycythemia vera;polycythaemia vera
2778;prophylaxis against postoperative nausea and vomiting;prophylaxis of nausea and vomiting
2779;irascible;anger
2780;swine influenza;h1n1 influenza
2781;cmv infection;cytomegalovirus infection
2782;myeloid leukemia;myeloid leukaemia
2783;febrile aplasia;febrile bone marrow aplasia
2784;septicemia;sepsis
2785;vascular disorder;angiopathy
2786;intracranial hemorrhage;haemorrhage intracranial
2787;eye disorder nos;eye disorder
2788;confusion;confusional state
2789;potassium replacement;electrolyte substitution therapy
2790;threatened premature labour;threatened labour
2791;elevated bp;blood pressure increased
2792;fibrillation atrial;atrial fibrillation
2793;gas;flatulence
2794;chronic renal failure anemia;nephrogenic anaemia
2795;wilson's disease;hepato-lenticular degeneration
2796;barrett's esophagus;barrett's oesophagus
2797;rigors;chills
2798;malignant melanoma of skin;malignant melanoma
2799;plaque psoriasis;psoriasis
2800;manic;mania
2801;prophylaxis of nsaid gastric ulceration;prophylaxis against gastrointestinal ulcer
2802;testosterone deficiency;androgen deficiency
2803;opioid induced constipation;constipation
2804;carcinoma of the appendix;appendix cancer
2805;painful periods;dysmenorrhoea
2806;insufficiency cardiac;cardiac failure
2807;germinoma;germ cell cancer
2808;pain in toe;pain in extremity
2809;stress test;cardiac stress test
